title,num_subscribers,course_type,institution,Level,subject,lang,price,ventas,Plataforma
Bases Matemáticas: Derivadas,24301,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Math,Español,50,1215050,Edx
Buscar en Internet,27320,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Computer Science,Español,49,1338680,Edx
Big Data and Education,14909,Self-paced on your time,University of Pennsylvania,Advanced,Data Analysis & Statistics,English,169,2519621,Edx
Model-Based Automotive Systems Engineering,13857,Instructor-led on a course schedule,Chalmers University of Technology,Advanced,Engineering,English,249,3450393,Edx
Introduction to Hyperledger Blockchain Technologies,138884,Self-paced on your time,The Linux Foundation,Introductory,Business & Management,English,199,27637916,Edx
MathTrackX: Integral Calculus,0,Self-paced on your time,University of Adelaide,Introductory,Math,English,79,0,Edx
Solar Energy Engineering: Comprehensive Exams,0,Self-paced on your time,Delft University of Technology,Advanced,Engineering,English,250,0,Edx
Mercados de capital y participantes claves,7210,Self-paced on your time,NYIF,Introductory,Economics & Finance,Español,49,353290,Edx
Introducción al desarrollo de videojuegos con Unity,27474,Self-paced on your time,Universitat Politècnica de Valencia,Intermediate,Computer Science,Español,50,1373700,Edx
Incorporating Renewable Energy in Electricity Grids,10430,Self-paced on your time,Imperial College London,Intermediate,Energy & Earth Sciences,English,49,511070,Edx
Herramientas de la Inteligencia de Negocios,24130,Self-paced on your time,Universidad Galileo,Introductory,Data Analysis & Statistics,Español,49,1182370,Edx
Overview & Management of Parkinson’s Disease,0,Self-paced on your time,Salisbury University-University System of Maryland,Intermediate,Medicine,English,49,0,Edx
Conociendo los costos,0,Self-paced on your time,Universidades Anáhuac,Intermediate,Economics & Finance,Español,49,0,Edx
Sprint Planning for Faster Agile Team Delivery,10654,Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",Advanced,Engineering,English,199,2120146,Edx
Introduction to Water and Climate,36320,Self-paced on your time,Delft University of Technology,Intermediate,Engineering,English,50,1816000,Edx
The Medieval Icelandic Sagas,11176,Self-paced on your time,The University of Iceland,Intermediate,Humanities,English,50,558800,Edx
Visual Presentation,0,Self-paced on your time,Rochester Institute of Technology,Introductory,Communication,English,199,0,Edx
Community Engagement: Collaborating for Change,11818,Self-paced on your time,The University of Michigan,Introductory,Social Sciences,English,49,579082,Edx
Introducción al Internet de las Cosas (IoT),6322,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Electronics,Español,50,316100,Edx
"Proteins: Alignment, Analysis and Structure",23560,Instructor-led on a course schedule,University System of Maryland-University of Maryland Global Campus,Advanced,Biology & Life Sciences,English,249,5866440,Edx
AI Applications with Watson,9173,Self-paced on your time,IBM,Intermediate,Computer Science,English,99,908127,Edx
Data Analytics and Visualization in Health Care,7304,Self-paced on your time,Rochester Institute of Technology,Advanced,Data Analysis & Statistics,English,249,1818696,Edx
Question Everything: Scientific Thinking in Real Life,34279,Self-paced on your time,The University of Queensland,Introductory,Math,English,59,2022461,Edx
Introduction to Lifestyle Medicine,9002,Self-paced on your time,Doane University,Introductory,Biology & Life Sciences,English,79,711158,Edx
"Social Work Practice with Individuals, Families, and Small Groups",16134,Self-paced on your time,The University of Michigan,Advanced,Social Sciences,English,199,3210666,Edx
Gateway to Medicine: An Introduction to the Field of Medicine|走近医学,6938,Self-paced on your time,Tsinghua University,Introductory,Medicine,中文,49,339962,Edx
Indian & Tibetan River of Buddhism,6738,Self-paced on your time,Columbia University,Intermediate,Humanities,English,49,330162,Edx
Compostaje Orgánico en Casa,0,Instructor-led on a course schedule,Universidad Nacional de Córdoba,Introductory,Environmental Studies,Español,29,0,Edx
Financial Analysis for Decision Making,39156,Self-paced on your time,Babson College,Introductory,Business & Management,English,199,7792044,Edx
Lifestyle Medicine Treatments of Chronic Disease – Part 1,5668,Self-paced on your time,Doane University,Intermediate,Medicine,English,179,1014572,Edx
Building Containerized Applications on AWS,6128,Self-paced on your time,Amazon Web Services,Intermediate,Computer Science,English,99,606672,Edx
Effective Communication for Program and Project Stakeholders and Teams,0,Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",Introductory,Business & Management,English,199,0,Edx
Biobased Products for a Sustainable (Bio)economy,6951,Self-paced on your time,DelftXRWTHx-Delft University of Technology-RWTH Aachen University,Introductory,Biology & Life Sciences,English,50,347550,Edx
Social Work Practice: Advocating Social Justice and Change,19603,Self-paced on your time,The University of Michigan,Introductory,Social Sciences,English,49,960547,Edx
Anthropology of Current World Issues,44821,Instructor-led on a course schedule,The University of Queensland,Introductory,Humanities,English,99,4437279,Edx
Buyer Behaviour and Analysis,19717,Instructor-led on a course schedule,Curtin University,Advanced,Communication,English,199,3923683,Edx
Idea Development: Create and Implement Innovative Ideas,11501,Self-paced on your time,The University of Queensland,Intermediate,Business & Management,English,249,2863749,Edx
Analysis of Transport Phenomena I: Mathematical Methods,9169,Instructor-led on a course schedule,Massachusetts Institute of Technology,Advanced,Engineering,English,149,1366181,Edx
Leading the Organization,14998,Self-paced on your time,The University of Queensland,Intermediate,Business & Management,English,249,3734502,Edx
"Financial Programming and Policies, Part 2: Program Design",19330,Self-paced on your time,The International Monetary Fund,Intermediate,Economics & Finance,English,25,483250,Edx
Introduction to Open Source Networking Technologies,17436,Self-paced on your time,The Linux Foundation,Introductory,Computer Science,English,169,2946684,Edx
Deep Learning Essentials,5018,Self-paced on your time,Université de Montréal,Intermediate,Computer Science,English,149,747682,Edx
Estadística Aplicada a los Negocios,25295,Self-paced on your time,Universidad Galileo,Introductory,Data Analysis & Statistics,Español,49,1239455,Edx
"English for Journalists, Part 2",22814,Self-paced on your time,"University of California, Berkeley",Intermediate,Communication,English,49,1117886,Edx
Teaching & Learning in the Diverse Classroom,7104,Instructor-led on a course schedule,Cornell University,Introductory,Education & Teacher Training,English,99,703296,Edx
Fundamentals of Microeconomics | Fundamentos de Microeconomía,18456,Self-paced on your time,Universidad Carlos III de Madrid,Introductory,Social Sciences,English,129,2380824,Edx
Migrating to the AWS Cloud,0,Self-paced on your time,Amazon Web Services,Intermediate,Computer Science,English,49,0,Edx
IoT Networks and Protocols,22136,Self-paced on your time,Curtin University,Introductory,Computer Science,English,199,4405064,Edx
"American Prophet: The Inner Life and Global Vision of Martin Luther King, Jr.",0,Self-paced on your time,Stanford University,Introductory,History,English,50,0,Edx
China’s First Empires and the Rise of Buddhism,46053,Self-paced on your time,Harvard University,Introductory,History,English,139,6401367,Edx
Apnea y Trastornos del Sueño,14902,Self-paced on your time,Pontificia Universidad Javeriana,Introductory,Health & Safety,Español,49,730198,Edx
Educación sobre el cambio climático,23253,Self-paced on your time,Inter-American Development Bank,Introductory,Education & Teacher Training,Español,25,581325,Edx
Quantum Mechanics: A First Course,0,Instructor-led on a course schedule,Massachusetts Institute of Technology,Advanced,Physics,English,149,0,Edx
Urban Sewage Treatment,40408,Self-paced on your time,Delft University of Technology,Intermediate,Engineering,English,50,2020400,Edx
Doing Gender and Why it Matters,6826,Self-paced on your time,University of Hong Kong,Introductory,Social Sciences,English,99,675774,Edx
Producción musical y su efecto en la composición,7869,Self-paced on your time,Berklee College of Music,Introductory,Music,Español,49,385581,Edx
"Principle of Semiconductor Devices Part I: Semiconductors, PN Junctions and Bipolar Junction Transistors",12425,Self-paced on your time,The Hong Kong University of Science and Technology,Intermediate,Electronics,English,70,869750,Edx
"19th-Century Opera: Meyerbeer, Wagner, & Verdi",9340,Self-paced on your time,Harvard University,Introductory,Music,English,99,924660,Edx
Modelos predictivos con Machine Learning,5102,Self-paced on your time,Universidades Anáhuac,Intermediate,Computer Science,Español,49,249998,Edx
Quantitative Marketing Research,0,Self-paced on your time,Indian Institute of Management Bangalore,Introductory,Business & Management,English,50,0,Edx
Les fondements de la stratégie d’entreprise,33021,Instructor-led on a course schedule,Université catholique de Louvain,Introductory,Business & Management,Français,150,4953150,Edx
Solar Energy: Integration of Photovoltaic Systems in Microgrids,20068,Instructor-led on a course schedule,Delft University of Technology,Advanced,Engineering,English,250,5017000,Edx
"Automated Software Testing: Unit Testing, Coverage Criteria and Design for Testability",12630,Self-paced on your time,Delft University of Technology,Intermediate,Computer Science,English,99,1250370,Edx
Probability and Statistics I:  A Gentle Introduction to Probability,0,Self-paced on your time,The Georgia Institute of Technology,Intermediate,Data Analysis & Statistics,English,199,0,Edx
Introducción a las ecuaciones diferenciales,9868,Self-paced on your time,Universidad Galileo,Intermediate,Math,Español,49,483532,Edx
Agile Mindset Introduction,0,Self-paced on your time,Rolls-Royce,Introductory,Data Analysis & Statistics,English,49,0,Edx
Tropical coastal ecosystems,23031,Self-paced on your time,The University of Queensland,Introductory,Biology & Life Sciences,English,99,2280069,Edx
Modern China’s Foundations: The Manchus and the Qing,47166,Self-paced on your time,Harvard University,Introductory,History,English,139,6556074,Edx
El método de ciencia de datos,0,Self-paced on your time,IBM,Introductory,Data Analysis & Statistics,Español,39,0,Edx
AWS Developer: Deploying on AWS,25244,Self-paced on your time,Amazon Web Services,Advanced,Computer Science,English,149,3761356,Edx
Autonomous Mobile Robots,62362,Self-paced on your time,ETH Zurich,Intermediate,Computer Science,English,50,3118100,Edx
Gestión por resultados para gobiernos subnacionales,65955,Self-paced on your time,Inter-American Development Bank,Introductory,Business & Management,Español,25,1648875,Edx
Introduction to Sociology,10412,Self-paced on your time,The University of Texas of the Permian Basin,Introductory,Social Sciences,English,139,1447268,Edx
Transformación digital en las empresas,0,Self-paced on your time,Pontificia Universidad Javeriana,Introductory,Business & Management,Español,49,0,Edx
Desafios e oportunidades na economia digital,6913,Self-paced on your time,Inter-American Development Bank,Introductory,Economics & Finance,Português,25,172825,Edx
"Cellular Solids Part 1: Structures, Properties and Engineering Applications",7186,Self-paced on your time,Massachusetts Institute of Technology,Advanced,Engineering,English,99,711414,Edx
Introduction to Statistical Methods for Gene Mapping,15419,Self-paced on your time,Kyoto University,Advanced,Data Analysis & Statistics,English,49,755531,Edx
Cómo vivir una vida saludable y activa,8990,Self-paced on your time,Universidad Autónoma de Madrid,Introductory,Social Sciences,Español,49,440510,Edx
Mandarin Chinese Level 3,8418,Self-paced on your time,MandarinX,Intermediate,Language,English,149,1254282,Edx
Databases: Advanced Topics in SQL,0,Self-paced on your time,Stanford University,Introductory,Computer Science,English,50,0,Edx
Data for Effective Policy Making,13797,Self-paced on your time,Inter-American Development Bank,Introductory,Math,English,25,344925,Edx
C Programming: Using Linux Tools and Libraries,13912,Self-paced on your time,Dartmouth_IMTx-Dartmouth College-IMT,Intermediate,Computer Science,English,49,681688,Edx
Lernen objekt-orientierter Programmierung,10657,Instructor-led on a course schedule,Technische Universität München,Introductory,Computer Science,Deutsch,49,522193,Edx
Cybersecurity: The CISO's View,21507,Self-paced on your time,University of Washington,Introductory,Computer Science,English,199,4279893,Edx
Fundamentals of Java EE Development,10129,Self-paced on your time,Red Hat,Intermediate,Computer Science,English,99,1002771,Edx
"Instructional Design: Digital Media, New Tools and Technology",16419,Self-paced on your time,University System of Maryland-University of Maryland Global Campus,Intermediate,Education & Teacher Training,English,299,4909281,Edx
Molecular Biology – Part 3: RNA Processing and Translation,16520,Self-paced on your time,Massachusetts Institute of Technology,Advanced,Biology & Life Sciences,English,99,1635480,Edx
Power and Responsibility: Doing Philosophy with Superheroes,8517,Self-paced on your time,The Smithsonian Institution,Introductory,Art & Culture,English,49,417333,Edx
Aprendizaje automático y ciencia de datos,13994,Self-paced on your time,Universitat Politècnica de Valencia,Intermediate,Computer Science,Español,50,699700,Edx
Sustainable Urban Freight Transport: A Global Perspective,7769,Self-paced on your time,Delft University of Technology,Introductory,Engineering,English,50,388450,Edx
MathTrackX: Statistics,0,Self-paced on your time,University of Adelaide,Introductory,Math,English,79,0,Edx
Técnicas Cuantitativas y Cualitativas para la Investigación,29885,Self-paced on your time,Universitat Politècnica de Valencia,Intermediate,Data Analysis & Statistics,Español,65,1942525,Edx
Strategic Applications of IT Project & Program Management,17914,Self-paced on your time,University of Washington,Introductory,Business & Management,English,199,3564886,Edx
Advanced Bioconductor,26063,Self-paced on your time,Harvard University,Advanced,Data Analysis & Statistics,English,149,3883387,Edx
What Every Provider Should Know: Clinical Fundamentals,0,Self-paced on your time,Stanford University,Introductory,Medicine,English,50,0,Edx
Análisis e interpretación de información económica y financiera,5891,Self-paced on your time,Pontificia Universidad Javeriana,Intermediate,Economics & Finance,Español,49,288659,Edx
AWS IoT: Developing and Deploying an Internet of Things,8884,Self-paced on your time,Amazon Web Services,Intermediate,Computer Science,English,99,879516,Edx
Measuring Sustainable Development,0,Self-paced on your time,SDG Academy,Intermediate,Data Analysis & Statistics,English,25,0,Edx
Embedded Systems - Shape The World: Multi-Threaded Interfacing,27814,Self-paced on your time,The University of Texas at Austin,Intermediate,Computer Science,English,49,1362886,Edx
Hong Kong Cinema through a Global Lens | 全球化下的香港电影,12458,Instructor-led on a course schedule,University of Hong Kong,Introductory,Humanities,English,50,622900,Edx
Image Processing and Analysis for Life Scientists,8621,Self-paced on your time,École polytechnique fédérale de Lausanne,Intermediate,Data Analysis & Statistics,English,199,1715579,Edx
La protección del menor,7654,Self-paced on your time,Universidad Autónoma de Madrid,Introductory,Law,Español,49,375046,Edx
Globalization: Past and Future,10127,Self-paced on your time,SDG Academy,Introductory,History,English,25,253175,Edx
Star Trek: Inspiring Culture and Technology,6521,Self-paced on your time,The Smithsonian Institution,Introductory,History,English,40,260840,Edx
Qué funciona en educación: políticas educativas basadas en evidencia,15701,Self-paced on your time,Inter-American Development Bank,Introductory,Education & Teacher Training,Español,25,392525,Edx
"Introduction to Cloud Development with HTML5, CSS3, and JavaScript",0,Self-paced on your time,IBM,Introductory,Computer Science,English,99,0,Edx
Tools for Academic Engagement in Public Policy,5035,Self-paced on your time,Massachusetts Institute of Technology,Introductory,Communication,English,199,1001965,Edx
Theory of Change for Development,10736,Self-paced on your time,Wits University,Introductory,Social Sciences,English,199,2136464,Edx
Monozukuri: Making Things,0,Self-paced on your time,Tokyo Institute of Technology,Introductory,Engineering,English,49,0,Edx
Drug Discovery & Medicinal Chemistry,0,Self-paced on your time,Davidson College,Intermediate,Medicine,English,99,0,Edx
Digital Biomaterials,0,Self-paced on your time,University of Hong Kong,Introductory,Medicine,English,149,0,Edx
Natural Resources for Sustainable Development,9668,Self-paced on your time,SDG Academy,Intermediate,Energy & Earth Sciences,English,49,473732,Edx
Omnichannel Strategy and Management,15860,Self-paced on your time,Dartmouth College,Intermediate,Business & Management,English,99,1570140,Edx
General Overview of Cannabis and the Industry’s Outlook and Professions,5048,Self-paced on your time,Doane University,Introductory,Environmental Studies,English,199,1004552,Edx
Amazon SageMaker: Simplifying Machine Learning Application Development,11765,Self-paced on your time,Amazon Web Services,Intermediate,Computer Science,English,99,1164735,Edx
Formulación y nomenclatura de compuestos químicos,12748,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Chemistry,Español,49,624652,Edx
Introducción a la factura electrónica,5829,Self-paced on your time,LOGYCA,Intermediate,Economics & Finance,Español,49,285621,Edx
Demand and Supply Analytics,23585,Instructor-led on a course schedule,Columbia University,Intermediate,Business & Management,English,249,5872665,Edx
Advanced Algorithmics and Graph Theory with Python,13502,Self-paced on your time,IMT,Intermediate,Computer Science,English,49,661598,Edx
Modern Japanese Architecture Part 1: From Meiji Restoration to the Pacific War,0,Self-paced on your time,Tokyo Institute of Technology,Intermediate,Architecture,English,59,0,Edx
Diagramas UML estructurales para la Ingeniería del Software,5820,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Computer Science,Español,50,291000,Edx
"A-level Mathematics for Year 12 - Course 2: Calculus, Newton’s Laws and Hypothesis Testing",6232,Self-paced on your time,Imperial College London,Intermediate,Math,English,49,305368,Edx
Fundamentos de Mecánica para Ingeniería,14219,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Physics,Español,49,696731,Edx
Leadership and Management for PM Practitioners in IT,21949,Self-paced on your time,University of Washington,Introductory,Business & Management,English,199,4367851,Edx
Entrepreneurship 103: Show Me The Money,15184,Self-paced on your time,Massachusetts Institute of Technology,Introductory,Business & Management,English,300,4555200,Edx
Historia de la ética,9383,Self-paced on your time,Universidad Carlos III de Madrid,Introductory,Philosophy & Ethics,Español,29,272107,Edx
Drainage in Agriculture: controlling water and salt levels in the soil,0,Self-paced on your time,Wageningen University & Research,Advanced,Environmental Studies,English,49,0,Edx
Radio para internet con Podcast: creación y conceptos básicos,6460,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Communication,Español,50,323000,Edx
Introducción a los circuitos eléctricos,11953,Self-paced on your time,Universidad Galileo,Intermediate,Electronics,Español,49,585697,Edx
AP® Physics 1: Challenging Concepts,12145,Self-paced on your time,Davidson Next,Introductory,Physics,English,49,595105,Edx
Introduction to Java Programming – Part 2,71203,Self-paced on your time,The Hong Kong University of Science and Technology,Introductory,Computer Science,English,99,7049097,Edx
AP® Macroeconomics,29433,Self-paced on your time,Davidson Next,Introductory,Economics & Finance,English,49,1442217,Edx
Climate Change Education,12056,Self-paced on your time,Inter-American Development Bank,Introductory,Education & Teacher Training,English,25,301400,Edx
"Introducción al griego clásico: verbos, oraciones y filosofía",0,Self-paced on your time,Universidad Autónoma de Madrid,Introductory,Language,Español,49,0,Edx
Applied Deep Learning Capstone Project,8429,Self-paced on your time,IBM,Advanced,Data Analysis & Statistics,English,99,834471,Edx
FinTech Ethics and Risks,10696,Self-paced on your time,University of Hong Kong,Introductory,Economics & Finance,English,199,2128504,Edx
User Experience (UX) Design: Human Factors and Culture in Design | 设计的人因与文化,23828,Self-paced on your time,Tsinghua University,Advanced,Engineering,English,139,3312092,Edx
The Conquest of Space: Space Exploration and Rocket Science,19926,Self-paced on your time,Universidad Carlos III de Madrid,Introductory,Engineering,English,129,2570454,Edx
Business Strategy and Operations in a Biobased Economy,0,Self-paced on your time,Wageningen University & Research,Advanced,Business & Management,English,149,0,Edx
What Works in Education: Evidence-Based Education Policies,5540,Self-paced on your time,Inter-American Development Bank,Introductory,Education & Teacher Training,English,25,138500,Edx
Electric Cars: Business,14199,Self-paced on your time,Delft University of Technology,Intermediate,Business & Management,English,50,709950,Edx
Thermodynamics of Materials,0,Self-paced on your time,Massachusetts Institute of Technology,Intermediate,Engineering,English,150,0,Edx
Mechanics: Momentum and Energy,14846,Self-paced on your time,Massachusetts Institute of Technology,Intermediate,Physics,English,49,727454,Edx
Co-Creating Sustainable Cities,12415,Self-paced on your time,Delft University of Technology-Wageningen University & Research-Delft University & Wageningen University,Advanced,Social Sciences,English,49,608335,Edx
Cómo educar teniendo en cuenta la muerte,0,Self-paced on your time,Universidad Autónoma de Madrid,Introductory,Education & Teacher Training,Español,49,0,Edx
Introduction to Animal Ethics,6608,Self-paced on your time,Kyoto University,Introductory,Philosophy & Ethics,English,49,323792,Edx
Teamwork & Collaboration,0,Self-paced on your time,Rochester Institute of Technology,Introductory,Communication,English,199,0,Edx
Grant Writing and Crowdfunding for Public Libraries,12853,Self-paced on your time,The University of Michigan,Introductory,Humanities,English,49,629797,Edx
Leading Ambitious Teaching and Learning,24273,Self-paced on your time,The University of Michigan-Microsoft Education,Advanced,Education & Teacher Training,English,199,4830327,Edx
Financing Innovative Ventures,0,Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",Introductory,Business & Management,English,149,0,Edx
"A-level Mathematics for Year 13 - Course 2: General Motion, Moments and Equilibrium, The Normal Distribution, Vectors, Differentiation Methods, Integration Methods and Differential Equations",0,Self-paced on your time,Imperial College London,Intermediate,Math,English,49,0,Edx
Theories of Media and Technology,0,Instructor-led on a course schedule,New York University,Introductory,Art & Culture,English,249,0,Edx
Introducción a la Estructura de la Materia,11859,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Chemistry,Español,25,296475,Edx
"Batteries, Fuel Cells, and their Role in Modern Society",11865,Self-paced on your time,Ural Federal University,Introductory,Science,English,49,581385,Edx
Communication Skills for Dialoguing Across Difference,60943,Self-paced on your time,Catalyst,Introductory,Communication,English,25,1523575,Edx
Social Media: How Media Got Social,13616,Self-paced on your time,Curtin University,Introductory,Communication,English,139,1892624,Edx
"Portfolio Management, Governance, & the PMO",17299,Self-paced on your time,University of Washington,Introductory,Business & Management,English,199,3442501,Edx
edX101: Overview of Creating an edX Course,22327,Self-paced on your time,edX,Introductory,Education & Teacher Training,English,99,2210373,Edx
"Soy docente, ¡qué miedo! Gestiona eficazmente tus emociones",0,Self-paced on your time,Universidad Autónoma de Madrid,Introductory,Education & Teacher Training,Español,49,0,Edx
Data Analysis for Decision Making,8342,Instructor-led on a course schedule,"The University of Maryland, College Park-University System of Maryland",Advanced,Business & Management,English,214,1785188,Edx
UML Class Diagrams for Software Engineering,33710,Self-paced on your time,KU Leuven University,Introductory,Computer Science,English,49,1651790,Edx
Driving Digital Innovation through Experimentation,16904,Instructor-led on a course schedule,Boston University,Advanced,Computer Science,English,399,6744696,Edx
Compilation Basics for Macroeconomic Statistics,6570,Self-paced on your time,The International Monetary Fund,Introductory,Data Analysis & Statistics,English,25,164250,Edx
Seguridad Vial en América Latina y el Caribe: de la teoría a la acción,20189,Self-paced on your time,Inter-American Development Bank,Introductory,Engineering,Español,25,504725,Edx
From Fossil Resources to Biomass: A Chemistry Perspective,5464,Self-paced on your time,Wageningen University & Research,Advanced,Energy & Earth Sciences,English,149,814136,Edx
System Dynamics for Health Sciences,15157,Self-paced on your time,Wits University,Intermediate,Medicine,English,139,2106823,Edx
Internet de las cosas (IoT) y Big Data,0,Self-paced on your time,Universidad del Rosario,Intermediate,Data Analysis & Statistics,Español,49,0,Edx
Introducción a Ciencias de Datos y Estadística Básica para Negocios,0,Self-paced on your time,Tecnológico de Monterrey,Advanced,Data Analysis & Statistics,Español,49,0,Edx
Introduction to Psychological Research Methods,17087,Self-paced on your time,The University of Queensland,Introductory,Humanities,English,99,1691613,Edx
Sustainable Packaging in a Circular Economy,6277,Self-paced on your time,Delft University of Technology,Intermediate,Design,English,50,313850,Edx
Design in Healthcare: Using Patient Journey Mapping,17946,Self-paced on your time,Delft University of Technology,Introductory,Design,English,129,2315034,Edx
"El manejo de plagas, malezas y enfermedades en los Sistemas de Siembra Directa",0,Self-paced on your time,Universidad Nacional de Córdoba,Intermediate,Biology & Life Sciences,Español,99,0,Edx
"Electronic, Optical, and Magnetic Properties of Materials",9717,Instructor-led on a course schedule,Massachusetts Institute of Technology,Advanced,Engineering,English,150,1457550,Edx
La España del Quijote,13277,Self-paced on your time,Universidad Autónoma de Madrid,Introductory,History,Español,19,252263,Edx
Risk Management for Projects,22269,Self-paced on your time,University of Adelaide,Introductory,Business & Management,English,199,4431531,Edx
Smithsonian’s Objects That Define America,9071,Self-paced on your time,The Smithsonian Institution,Introductory,Humanities,English,50,453550,Edx
Creating Modern China: The Republican Period to the Present,43045,Self-paced on your time,Harvard University,Introductory,History,English,139,5983255,Edx
Discover Political Science,6573,Instructor-led on a course schedule,Université catholique de Louvain,Intermediate,Social Sciences,English,50,328650,Edx
Data Science: Inferential Thinking through Simulations,17505,Self-paced on your time,"University of California, Berkeley",Introductory,Computer Science,English,199,3483495,Edx
Programming for Data Science,41268,Self-paced on your time,University of Adelaide,Introductory,Computer Science,English,199,8212332,Edx
Public Sector Debt Statistics,0,Self-paced on your time,The International Monetary Fund,Intermediate,Economics & Finance,English,25,0,Edx
Sensor Fusion and Non-linear Filtering for Automotive Systems,9709,Instructor-led on a course schedule,Chalmers University of Technology,Advanced,Engineering,English,299,2902991,Edx
Creación musical con Soundcool: Introducción,0,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Music,Español,30,0,Edx
First Nights - Berlioz’s Symphonie Fantastique and Program Music in the 19th Century,8222,Self-paced on your time,Harvard University,Introductory,Humanities,English,49,402878,Edx
The Quantum Internet and Quantum Computers: How Will They Change the World?,15014,Self-paced on your time,Delft University of Technology,Introductory,Science,English,50,750700,Edx
Research Methods: An Engineering Approach,20444,Self-paced on your time,Wits University,Introductory,Engineering,English,169,3455036,Edx
Idealismo filosófico y cosmovisiones: cómo hacer mundos con ideas,15349,Self-paced on your time,Universidad Autónoma de Madrid,Introductory,Philosophy & Ethics,Español,49,752101,Edx
Rise to Leadership: Become a CEO,16719,Self-paced on your time,Babson College,Intermediate,Business & Management,English,199,3327081,Edx
Building a Cybersecurity Toolkit,23275,Self-paced on your time,University of Washington,Introductory,Computer Science,English,199,4631725,Edx
Marketing your Android apps,0,Self-paced on your time,Universidad Galileo,Intermediate,Engineering,English,49,0,Edx
Embedded Systems Essentials with Arm: Getting Started,0,Self-paced on your time,Arm Education,Intermediate,Computer Science,English,149,0,Edx
Life with Diabetes,12318,Self-paced on your time,Curtin University,Introductory,Medicine,English,139,1712202,Edx
Human Reproduction,5517,Self-paced on your time,University of Adelaide,Intermediate,Biology & Life Sciences,English,169,932373,Edx
Enabling Technologies for Data Science and Analytics: The Internet of Things,71290,Self-paced on your time,Columbia University,Introductory,Computer Science,English,99,7057710,Edx
Astrophysics: Exploring Exoplanets,48539,Self-paced on your time,Australian National University,Intermediate,Physics,English,50,2426950,Edx
Unconventional Reservoir Geomechanics,0,Self-paced on your time,Stanford University,Introductory,Energy & Earth Sciences,English,129,0,Edx
Strategic Account Management,0,Self-paced on your time,Queen’s University,Introductory,Business & Management,English,149,0,Edx
PyTorch Basics for Machine Learning,0,Self-paced on your time,IBM,Introductory,Data Analysis & Statistics,English,39,0,Edx
Diseño y Desarrollo de Recursos Multimedia para la Enseñanza Virtual,14266,Self-paced on your time,Universidad Galileo,Intermediate,Humanities,Español,49,699034,Edx
Introduction to Cloud Foundry and Cloud Native Software Architecture,24444,Self-paced on your time,The Linux Foundation,Introductory,Computer Science,English,169,4131036,Edx
Gestión de compras eficientes para tu empresa,0,Self-paced on your time,LOGYCA,Introductory,Engineering,Español,25,0,Edx
Know HBV And HCV,0,Self-paced on your time,Stanford University,Introductory,Medicine,English,50,0,Edx
The Supreme Court & American Politics,6216,Self-paced on your time,University of Baltimore-University System of Maryland,Introductory,Law,English,29,180264,Edx
Sales Enablement & Analytics,0,Self-paced on your time,Queen’s University,Introductory,Business & Management,English,149,0,Edx
Inversión Extranjera como Motor del Desarrollo para América Latina y el Caribe,16423,Self-paced on your time,Inter-American Development Bank,Intermediate,Business & Management,Español,25,410575,Edx
Liderazgo en la empresa familiar,10969,Self-paced on your time,Tecnológico de Monterrey,Intermediate,Business & Management,Español,49,537481,Edx
Comparative Political Systems,6934,Self-paced on your time,Università degli Studi di Napoli Federico II,Introductory,Social Sciences,English,59,409106,Edx
Introducción al Derecho en la vida cotidiana,0,Self-paced on your time,Universidad Autónoma de Madrid,Introductory,Law,Español,49,0,Edx
Cloud Computing for Enterprises,27241,Instructor-led on a course schedule,University System of Maryland-University of Maryland Global Campus,Intermediate,Computer Science,English,299,8145059,Edx
Diversity and Social Justice in Social Work,11055,Self-paced on your time,The University of Michigan,Advanced,Social Sciences,English,199,2199945,Edx
Public Library Marketing and Public Relations,7525,Self-paced on your time,The University of Michigan,Introductory,Humanities,English,49,368725,Edx
"Healthcare Finance, Economics and Risk",8006,Self-paced on your time,Doane University,Intermediate,Economics & Finance,English,199,1593194,Edx
Reacciones Químicas y Cálculos Estequiométricos,8907,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Chemistry,Español,49,436443,Edx
Seeking Women’s Rights: Colonial Period to the Civil War,5157,Self-paced on your time,Columbia University,Intermediate,History,English,50,257850,Edx
VideoX: Creating Video for the edX Platform,12159,Self-paced on your time,edX,Introductory,Education & Teacher Training,English,99,1203741,Edx
Comisión de la Verdad Colombia,0,Self-paced on your time,Pontificia Universidad Javeriana,Introductory,History,Español,29,0,Edx
MathTrackX: Probability,0,Self-paced on your time,University of Adelaide,Introductory,Math,English,79,0,Edx
Health Informatics for better and safer healthcare,0,Self-paced on your time,IsraelX,Introductory,Health & Safety,English,49,0,Edx
