title,num_subscribers,course_type,institution,Level,subject,lang,price,ventas,Plataforma
"Algorithms: Design and Analysis, Part 2",0,Self-paced on your time,Stanford University,Intermediate,Computer Science,English,149,0,Edx
The Math of Data Science: Linear Algebra,6746,Self-paced on your time,Rice University,Intermediate,Math,English,159,1072614,Edx
Introducción al quirófano,0,Self-paced on your time,Universidades Anáhuac,Intermediate,Medicine,Español,49,0,Edx
The Hardware of a Quantum Computer,20052,Self-paced on your time,Delft University of Technology,Intermediate,Physics,English,79,1584108,Edx
Grabar y mezclar música,10856,Self-paced on your time,Berklee College of Music,Introductory,Music,Español,49,531944,Edx
Leadership focused on Human Flourishing,0,Self-paced on your time,Tecnológico de Monterrey,Intermediate,Business & Management,English,149,0,Edx
Automata Theory,0,Self-paced on your time,Stanford University,Advanced,Computer Science,English,129,0,Edx
¡Conceptos básicos de Python para Data Science!,0,Self-paced on your time,IBM,Introductory,Data Analysis & Statistics,Español,49,0,Edx
Herramientas para el Análisis de Big Data,8118,Self-paced on your time,Tecnológico de Monterrey,Intermediate,Data Analysis & Statistics,Español,49,397782,Edx
Foundations of Central Bank Law,6169,Self-paced on your time,The International Monetary Fund,Intermediate,Law,English,25,154225,Edx
C Programming: Modular Programming and Memory Management,18690,Self-paced on your time,Dartmouth_IMTx-Dartmouth College-IMT,Introductory,Computer Science,English,49,915810,Edx
Enseñanza temprana de matemáticas y ciencias,8250,Self-paced on your time,Inter-American Development Bank,Introductory,Education & Teacher Training,Español,25,206250,Edx
Entrepreneurship 102: What can you do for your customer?,11275,Self-paced on your time,Massachusetts Institute of Technology,Introductory,Business & Management,English,49,552475,Edx
Italian Language and Culture: Advanced (2019-2020),24667,Self-paced on your time,Wellesley College,Advanced,Language,Italiano,49,1208683,Edx
Introduction to Marketing,0,Self-paced on your time,The University of Edinburgh,Introductory,Business & Management,English,149,0,Edx
Origins of the Human Mind,11812,Self-paced on your time,Kyoto University,Introductory,Science,English,49,578788,Edx
Introduction to Geometry,61824,Self-paced on your time,SchoolYourself,Introductory,Math,English,50,3091200,Edx
The Future of Work: Preparing for Disruption,43125,Self-paced on your time,World Bank Group,Introductory,Economics & Finance,English,5,215625,Edx
Clinical Reasoning Process,5367,Self-paced on your time,Université de Montréal,Introductory,Medicine,English,149,799683,Edx
Datos para la efectividad de las políticas públicas,80425,Self-paced on your time,Inter-American Development Bank,Introductory,Data Analysis & Statistics,Español,25,2010625,Edx
Media Law,7253,Instructor-led on a course schedule,New York University,Introductory,Art & Culture,English,249,1805997,Edx
Líderes para la Gestión en Seguridad Ciudadana y Justicia,12826,Self-paced on your time,Inter-American Development Bank,Intermediate,Social Sciences,Español,25,320650,Edx
"Diseña, fabrica y programa tu propio robot",25024,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Engineering,Español,75,1876800,Edx
Pivoting to Online Teaching: Research and Practitioner Perspectives,5289,Self-paced on your time,University of Texas at Arlington,Introductory,Education & Teacher Training,English,139,735171,Edx
Circular Economy: An Interdisciplinary Approach,10281,Self-paced on your time,Wageningen University & Research,Advanced,Business & Management,English,149,1531869,Edx
Calculus 1B: Integration,44669,Instructor-led on a course schedule,Massachusetts Institute of Technology,Intermediate,Math,English,100,4466900,Edx
Algorithmic Design and Techniques,40620,Self-paced on your time,"The University of California, San Diego",Intermediate,Computer Science,English,99,4021380,Edx
Drinking Water Treatment,51918,Self-paced on your time,Delft University of Technology,Intermediate,Engineering,English,50,2595900,Edx
Fundamentos de información financiera y contable,7789,Self-paced on your time,Universidades Anáhuac,Intermediate,Economics & Finance,Español,49,381661,Edx
Les principes de la finance,44037,Self-paced on your time,Université catholique de Louvain,Intermediate,Business & Management,Français,150,6605550,Edx
Music Technology Foundations,34550,Self-paced on your time,University of Adelaide,Introductory,Computer Science,English,169,5838950,Edx
The Entrepreneurial Mindset,31077,Self-paced on your time,Babson College,Introductory,Business & Management,English,149,4630473,Edx
"Anatomy: Gastrointestinal, Reproductive and Endocrine Systems",26453,Self-paced on your time,The University of Michigan,Introductory,Biology & Life Sciences,English,49,1296197,Edx
Risk Management and Credit Principles,9028,Self-paced on your time,NYIF,Advanced,Economics & Finance,English,199,1796572,Edx
Steps in Japanese for Beginners1 Part3,6169,Self-paced on your time,Waseda University,Introductory,Language,English,99,610731,Edx
Structural Materials: Selection and Economics,9752,Self-paced on your time,Massachusetts Institute of Technology,Introductory,Engineering,English,50,487600,Edx
Algorithm Design and Analysis,39137,Self-paced on your time,University of Pennsylvania,Intermediate,Computer Science,English,149,5831413,Edx
Estructuras de Datos con Python,0,Self-paced on your time,The University of Michigan,Introductory,Computer Science,Español,49,0,Edx
Mandarin Chinese for Business,12384,Self-paced on your time,MandarinX,Intermediate,Language,English,149,1845216,Edx
Bases Matemáticas: Números y terminología,26060,Self-paced on your time,Universitat Politècnica de Valencia,Intermediate,Math,Español,50,1303000,Edx
Arab-Islamic History: From Tribes to Empires,17321,Self-paced on your time,IsraelX-Tel Aviv University,Introductory,Humanities,English,149,2580829,Edx
Human-Computer Interaction I: Fundamentals & Design Principles,9010,Self-paced on your time,The Georgia Institute of Technology,Introductory,Computer Science,English,99,891990,Edx
Modeling and simulation of multibody systems,0,Instructor-led on a course schedule,Université catholique de Louvain,Intermediate,Engineering,English,50,0,Edx
The Science of Parenting,37538,Self-paced on your time,"The University of California, San Diego",Introductory,Social Sciences,English,49,1839362,Edx
Inclusive Teaching: Supporting All Students in the College Classroom,9899,Self-paced on your time,Columbia University,Introductory,Education & Teacher Training,English,49,485051,Edx
Analytics for Decision Making,31031,Self-paced on your time,Babson College,Introductory,Business & Management,English,249,7726719,Edx
Principios de Análisis e Instrumentos Financieros,0,Self-paced on your time,Universidades Anáhuac,Intermediate,Economics & Finance,Español,49,0,Edx
Energy Principles and Renewable Energy,19520,Instructor-led on a course schedule,The University of Queensland,Advanced,Energy & Earth Sciences,English,375,7320000,Edx
DNA: Biology’s Genetic Code,35162,Self-paced on your time,Rice University,Intermediate,Biology & Life Sciences,English,169,5942378,Edx
Music For Wellness,19728,Self-paced on your time,Berklee College of Music,Introductory,Humanities,English,49,966672,Edx
Mining Massive Datasets,5311,Self-paced on your time,Stanford University,Advanced,Computer Science,English,149,791339,Edx
Introduction to Electrical and Electronic Engineering - 電気電子工学入門 -,25041,Self-paced on your time,Tokyo Institute of Technology,Introductory,Engineering,English,50,1252050,Edx
A travel by Spanish America: Spanish for beginners,0,Self-paced on your time,Universidad del Rosario,Introductory,Language,Español,49,0,Edx
Introducción a la Inteligencia Artificial,11184,Self-paced on your time,Universidades Anáhuac,Introductory,Computer Science,Español,49,548016,Edx
Introducción a la Inteligencia Artificial: Principales Algoritmos,0,Self-paced on your time,Universidad Galileo,Introductory,Computer Science,Español,49,0,Edx
Digital Security and Human Rights,11443,Self-paced on your time,Amnesty International,Introductory,Social Sciences,English,49,560707,Edx
Critical thinking: reasoned decision making,6923,Self-paced on your time,Tecnológico de Monterrey,Introductory,Business & Management,English,149,1031527,Edx
Introduction to the Internet of Things,7581,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Electronics,English,50,379050,Edx
Trading - Fundamentals of Technical Analysis,0,Self-paced on your time,NYIF,Introductory,Economics & Finance,English,199,0,Edx
Riñones: conoce sus funciones para mejorar tu salud y calidad de vida,20261,Self-paced on your time,Universidad Autónoma de Madrid,Introductory,Medicine,Español,49,992789,Edx
Design Thinking: Empathizing to Understand the Problem,13340,Self-paced on your time,Rochester Institute of Technology,Intermediate,Business & Management,English,299,3988660,Edx
Storytelling in the Workplace,0,Self-paced on your time,Rochester Institute of Technology,Introductory,Communication,English,199,0,Edx
